Sample_ID	PlateNumber	Subject	Habitat	quant_reading	Sample_or_Control	LibrarySize	Index	Type
097-KitA-1-1-2	1	2	1	11.01591931	True sample	9799	4	FALSE
098-KitA-1-1-3	1	3	1	9.326771175	True sample	13918	5	FALSE
099-KitA-1-1-4	1	4	1	12.2311338	True sample	11842	6	FALSE
100-KitA-1-1-5	1	5	1	10.54806173	True sample	9247	7	FALSE
101-KitA-1-1-6	1	6	1	11.83011301	True sample	11035	8	FALSE
102-KitA-1-1-7	1	7	1	21.61866569	True sample	15774	9	FALSE
103-KitA-1-1-8	1	8	1	32.26394459	True sample	13679	10	FALSE
104-KitA-1-1-9	1	9	1	53.22639446	True sample	18314	11	FALSE
105-KitA-1-2-2	1	2	2	10.83363714	True sample	10993	12	FALSE
106-KitA-1-2-3	1	3	2	11.07060396	True sample	6059	13	FALSE
107-KitA-1-2-4	1	4	2	11.07060396	True sample	15019	14	FALSE
108-KitA-1-2-5	1	5	2	11.53238547	True sample	11763	15	FALSE
109-KitA-1-2-6	1	6	2	13.06963179	True sample	14329	16	FALSE
110-KitA-1-2-7	1	7	2	17.97909831	True sample	13864	17	FALSE
111-KitA-1-2-8	1	8	2	32.32470531	True sample	7550	18	FALSE
112-KitA-1-2-9	1	9	2	52.67954794	True sample	15261	19	FALSE
113-KitA-1-3-2	1	2	3	10.88224572	True sample	47776	20	FALSE
115-KitA-1-3-4	1	4	3	11.76935229	True sample	8923	21	FALSE
116-KitA-1-3-5	1	5	3	12.85089318	True sample	10274	22	FALSE
117-KitA-1-3-6	1	6	3	10.62705067	True sample	11371	23	FALSE
118-KitA-1-3-7	1	7	3	17.365415	True sample	12120	24	FALSE
119-KitA-1-3-8	1	8	3	34.81589501	True sample	13978	25	FALSE
120-KitA-1-3-9	1	9	3	46.48195406	True sample	21200	26	FALSE
137-KitA-NK-1	1	NA	NA	9.211325799	Control sample	2050	1	TRUE
138-KitA-NK-2	1	NA	NA	9.308542958	Control sample	1108	2	TRUE
139-KitA-NK-3	1	NA	NA	10.09843237	Control sample	1122	3	TRUE
